Name,Description,Qty,Tot Price (USD),Link
NRF24L01 PA + NLA,,2,8.49,https://www.amazon.com/gp/product/B00WG9HO6Q
2x Analog Joystick,,2,1.76,https://www.aliexpress.us/item/3256807375670744.html
ESP32 WROOM-32 (USB-C),,2,17.99,https://amazon.com/gp/product/B0D6BH4K9B
2x Mini Rocker Switch,,2,5.39,https://business.walmart.com/ip/Mini-Rocker-Switch-2-PIN-ON-OFF-SPST-125VAC-6A-250VAC-3A-Red-KCD117S-2X-5X-10X/144502398
FF01 Low Profile E-Stop Button (FF0116BBCAEA01),,1,38.89,https://www.newark.com/nkk-switches/ff0116bbcaea01/e-stop-switch-spst-nc-0-5a-24vdc/dp/75AH8781
12 x 12 x 8mm Tactile Push Button,,9,6.99,https://www.amazon.com/Momentary-Pushbutton-Switches-Breadboard-Electronic/dp/B09R3ZPWJ7
2-Point Lanyard,,1,6.59,https://www.amazon.com/dp/B0C4YJ5GHN
0.96" OLED Display,,1,10.79,https://www.amazon.com/gp/product/B0F21YZ1TQ
3V Piezo Buzzer,,2,5.29,https://www.aliexpress.us/item/3256808592250091.html
M3x6 SHCS,,26,Order w/below,https://us.store.bambulab.com/products/m3-socket-head-cap-machine-screws-shcs-1
M3x14 SHCS,(or M3x16),4,10.59,https://us.store.bambulab.com/products/m3-socket-head-cap-machine-screws-shcs-1
M3 Heat-Set Inserts,,28,12.49,https://www.amazon.com/Yaocom-Inserts-Threaded-Printing-Components/dp/B0DG59PW2R
Buck Converter (9V to 5V),,1,5.87,https://www.aliexpress.us/item/3256806137313905.html
9V Battery,,1,N/A,N/A